LP,Easting,Northing
1,478,332
2,469,377
3,444,381
4,404,443
5,379,448
16,498,371
17,383,383
23,388,399
26,393,364
29,400,412
30,417,412
32,400,451
36,412,309
38,511,334
43,406,400
45,478,414
46,491,326
49,539,305
51,512,282
52,373,317
54,426,365
55,509,275
56,475,309
60,527,293
61,428,348
62,524,331
65,423,276
68,469,303
69,503,308
70,433,383
71,478,318
73,548,300
75,548,324
79,542,315
80,350,284
81,357,339
82,365,352
83,415,348
84,406,381
85,360,392
87,362,404
88,433,372
89,365,352
90,420,289
91,391,298
94,425,323
96,457,339
97,486,307
99,492,316
100,430,398
104,392,377
105,415,375
106,506,406
110,473,366
113,379,407
114,428,369
115,428,412
130,454,295
133,433,445
136,367,372
138,365,436
139,372,430
140,435,336
145,460,452
154,388,439
162,460,302
164,472,360
165,430,389
167,377,414
168,455,426
169,455,375
175,471,408
177,407,338
180,514,344
181,525,410
183,481,344
184,416,335
186,398,374
188,438,371
189,383,336
192,371,326
193,413,348
194,503,326
195,538,381
196,527,317
198,521,335
200,418,396
201,428,342
202,482,380
204,458,415
206,511,388
207,519,363
210,495,415
211,435,420
212,503,422
213,488,337
215,418,327
217,450,407
219,541,294
220,508,354
221,521,393
222,485,367
223,363,331
225,482,370
226,537,356
227,403,356
233,350,312
234,452,384
235,459,367
236,533,387
237,365,295
238,404,318
240,467,400
243,392,323
246,377,355
247,475,354
251,460,275
257,420,357
259,362,443
260,406,330
277,496,353
278,482,361
287,515,352
294,510,429
299,482,295
300,445,328
301,401,298
302,448,286
303,418,387
307,377,398
308,356,410
311,413,344
313,474,278
314,410,388
316,532,350
317,357,351
318,365,378
319,396,341
320,408,371
322,399,383
325,432,299
348,435,420
349,416,421
357,400,308
358,422,452
360,409,428
361,499,440
363,446,394
365,375,442
366,473,430
373,427,392
377,415,417
378,425,419
380,468,430
382,455,374
398,455,439
405,433,408
410,439,440
411,398,399
415,462,432
417,448,343
418,356,321
419,382,369
422,523,357
423,535,307
425,547,371
426,462,287
432,439,316
434,425,323
435,378,298
441,365,398
445,355,422
446,377,433
448,358,383
451,368,433
454,371,452
461,522,275
472,468,430
473,467,414
474,473,421
476,469,445
477,411,407
479,458,390
488,418,434
491,480,407
492,518,416
494,399,428
495,393,416
496,406,408
497,440,401
498,415,370
500,427,427
501,495,381
503,476,391
504,485,353
505,457,317
506,463,354
507,478,385
508,506,362
509,461,330
510,507,345
511,446,352
512,510,316
514,467,395
515,417,318
516,382,310
517,414,292
519,405,304
527,470,308
529,387,316
530,454,323
531,445,305
534,448,277
536,457,282
537,442,296
539,471,294
540,496,300
541,508,298
542,378,429
544,503,428
549,499,335
550,511,321
551,535,317
552,527,305
553,494,309
554,485,301
556,514,303
557,539,299
558,543,288
559,541,282
560,468,321
561,530,288
577,443,364
578,450,336
579,479,377
580,475,346
581,415,362
582,392,391
583,390,408
584,454,292
585,461,313
586,385,397
587,488,402
588,489,397
591,461,402
593,468,384
597,425,405
603,386,451
605,442,388
612,472,316
617,370,366
652,547,309
661,445,310
676,418,291
677,425,294
678,416,298
699,439,286
704,357,283
709,518,287
714,421,350
715,406,358
717,409,345
718,403,368
726,383,349
729,398,349
730,462,348
731,482,294
732,432,413
736,479,284
737,504,295
738,494,283
742,501,281
752,501,288
755,515,293
761,523,282
763,513,309
764,361,414
766,520,300
767,487,319
770,494,290
777,376,378
804,533,344
814,532,363
901,516,377
905,521,313
908,519,405
910,496,408
912,524,323
913,545,375
927,521,328
1001,460,452
1002,460,452
1012,356,437
1102,444,395
1122,503,439
1125,519,428
1126,520,448
1127,519,428
1128,425,440
1132,468,430
1133,510,429
1134,510,429
1135,510,429
1136,510,429
1140,391,298
1141,391,298
1142,391,298
1198,365,436
1199,365,436
1200,372,430
1201,372,430
1202,372,430
1203,372,430
1204,372,430
1205,372,430
1245,418,443
1257,503,439
1259,476,428
1284,373,436
1285,373,436
1286,373,436
1287,419,383
1300,354,343
1301,353,320
1302,373,341
1306,435,280
1307,435,280
1308,435,280
1321,415,348
1323,365,352
1324,376,378
1325,383,364
1326,383,364
1327,362,382
1329,370,390
1330,370,390
1331,369,384
1332,379,370
1334,374,392
1335,383,364
1337,370,390
1338,370,390
1339,379,374
1340,379,370
1341,379,370
1342,415,348
1343,370,390
1345,503,439
1348,460,452
1352,460,452
1355,468,430
4218,373,286
4239,359,275
4245,383,284
4285,426,304
4286,392,289
4289,537,326
4675,420,281
4682,411,280
4685,406,285
7550,369,277
7591,397,277
7592,397,277
7593,397,277
7600,391,277
7610,382,278
7980,435,280
